                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 2.4196,                  2.324,                 3.0484,                0.03906,                0.39506,                0.05394,                0.01296,                 2.6763,                 5.5635,                 3.2461,               0.007294,               0.007294,               0.007294
                     84,                 2.4184,                 2.3775,                   3.04,                0.27247,                0.46914,                0.26354,                0.09358,                 2.1417,                 2.8325,                 2.9028,               0.007261,               0.007261,               0.007261
                     85,                 2.4857,                 2.3676,                 3.0896,                0.44647,                0.53086,                0.47413,                 0.1962,                 2.0407,                 2.5611,                 2.8269,               0.007228,               0.007228,               0.007228
                     86,                 2.4997,                 2.4238,                 3.0254,                0.50001,                0.60494,                0.49698,                0.22398,                 2.0248,                 2.3822,                 2.7993,               0.007195,               0.007195,               0.007195
                     87,                 2.4205,                 2.4043,                 3.0667,                0.36758,                0.62963,                 0.4233,                0.22344,                 2.1681,                 2.2389,                 2.9718,               0.007162,               0.007162,               0.007162
                     88,                 2.4403,                 2.3779,                 3.0153,                0.30874,                0.45679,                0.34998,                0.15541,                 2.0427,                 2.8952,                 2.8606,               0.007129,               0.007129,               0.007129
                     89,                 2.3792,                 2.3792,                 3.0375,                 0.1719,                0.41975,                0.27104,                0.10285,                 2.1381,                 3.2932,                 2.9074,               0.007096,               0.007096,               0.007096
                     90,                 2.3776,                 2.4575,                 3.0219,                0.25445,                0.32099,                0.27095,                0.09988,                 2.2964,                  3.871,                 3.0266,               0.007063,               0.007063,               0.007063
                     91,                 2.4096,                 2.4088,                 2.9616,                0.59514,                0.63521,                0.66327,                0.29668,                    1.9,                 2.3094,                 2.7054,                0.00703,                0.00703,                0.00703
                     92,                 2.4292,                 2.2975,                 2.9853,                0.57091,                0.44444,                0.54073,                0.24469,                 1.9828,                 2.5718,                 2.7749,               0.006997,               0.006997,               0.006997
                     93,                 2.4728,                 2.3111,                 3.0033,                0.43146,                0.62963,                0.46316,                0.22788,                 1.9349,                 2.6675,                 2.7535,               0.006964,               0.006964,               0.006964
                     94,                  2.389,                 2.2459,                 2.9616,                0.45243,                0.48967,                0.45913,                 0.2223,                 1.9662,                 2.5689,                  2.783,               0.006931,               0.006931,               0.006931
                     95,                  2.304,                 2.2217,                 3.0201,                0.43931,                0.56106,                0.52529,                0.21126,                 2.1247,                 2.4496,                 2.8927,               0.006898,               0.006898,               0.006898
                     96,                 2.2409,                 2.2367,                 2.9047,                0.49385,                0.59025,                0.54321,                0.26019,                 1.9374,                 2.3499,                 2.7664,               0.006865,               0.006865,               0.006865
                     97,                 2.1995,                  2.206,                 2.8695,                0.24153,                0.49383,                0.25483,                0.08844,                 2.1175,                 2.8142,                 2.9447,               0.006832,               0.006832,               0.006832
